"","EEG.Anlagenschluessel","Hersteller.der.Windenergieanlage","Typenbezeichnung","Leistung","Inbetriebnahmedatum.der.Einheit","Gemeindeschluessel","Koordinate..Breitengrad..WGS84.","Koordinate..Laengengrad..WGS84.","Nabenhoehe.der.Windenergieanlage","Rotordurchmesser.der.Windenergieanlage"
"919","E3123801V000000000000042827704713","ENERCON GmbH","E-101-3.050","3050 ","26.10.2015",7231087,"49,853151","7,058145","149","101"
"920","E3123801V000000000000042827707438","ENERCON GmbH","E-101-3.050","3050 ","04.11.2015",7231087,"49,850065","7,061872","149","101"
"921","E3123801V000000000000042827604714","ENERCON GmbH","E-101-3.050","3050 ","27.11.2015",7231087,"49,857302","7,06161","149","101"
"922","E3123801V000000000000042827604715","ENERCON GmbH","E-101-3.050","3050 ","11.12.2015",7231087,"49,852938","7,069075","149","101"
"923","E31238010000000340000000389493134","BRAUN Windturbinen GmbH","Antaris 6,5 KW"," ","21.08.2014",7134092,"","","20",""
"924","E32954010200000000003616500511201","Nordex Energy GmbH","N43-600"," 600","18.02.1999",7331011,"49,731361","8,187865","77.5","43"
"925","E31102010000000000002011142500001","ENERCON GmbH","E-115","3000 ","30.09.2017",7143220,"50,536","7,889","149","115.7"
"926","E31102010000000000002011142500002","ENERCON GmbH","E-115","3000 ","17.11.2017",7143501,"50,54","7,89","149","115.7"
"927","E31102010000000000002011142500001","ENERCON GmbH","E-115","3000 ","24.11.2017",7143501,"50,536","7,895","149","115.7"
"928","E31102010000000000002002788000001","Nordex Energy GmbH","N117","2400 ","19.12.2014",7143293,"50,566649","7,940786","140.6","116.8"
"929","E31102010000000000002002788000003","Nordex Energy GmbH","N117","2400 ","15.12.2014",7143293,"50,563011","7,941263","140.6","116.8"
"930","E31102010000000000002002788000002","Nordex Energy GmbH","N117","2400 ","22.12.2014",7143293,"50,565065","7,935738","140.6","116.8"
"931","E31238010000000000000034694384309","Vestas Deutschland GmbH","V90 MK 8 GridStream","2000 ","20.11.2014",7233237,"50,366779","6,412268","125","90"
"932","E31102010000000000001279811800001","ENERCON GmbH","E-58/10.58","1000 ","09.07.2004",7143242,"50,6265","7,9964","70","58.6"
"933","E31238010000030212000000430418902","ENERCON GmbH","E40  6.44"," 600","09.10.2000",7232223,"50,216071","6,513539","65","44"
"934","","ENERCON GmbH","E40  6.44"," 600","06.10.2000",7232223,"50,216189","6,511243","65","44"
"935","E31238010000000000000046594100038","ENERCON GmbH","E40  6.44"," 600","20.12.2002",7232056,"50,018301","6,248464","78","44"
"936","E31102010000000000002001862100002","Schütz GmbH & Co. KGaA","VT110","3200 ","10.02.2014",7143268,"50,61311","7,75533","137.6","110"
"937","","Nordex Energy GmbH","N149","5700 ","",7140025,"50,104597","7,62017","164","149"
"938","E31102010000000000002001862100001","Schütz GmbH & Co. KGaA","VT110","3200 ","10.02.2013",7143268,"50,60975","7,75289","137.6","110"
