"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"1083",723206226,54595,"Weinsheim",500,1998-04-23,"11YR00000003039P",10003764,"E31238010000030212000000318501209",664270,7232,"Eifelkreis Bitburg-Pr?m",1328.54,664,"723206","Pr?m"
"1084",723206226,54595,"Weinsheim",500,1998-04-22,"11YR00000003039P",10003764,"E31238010000030212000000318518850",664270,7232,"Eifelkreis Bitburg-Pr?m",1328.54,664,"723206","Pr?m"
"1085",723206223,54597,"Fleringen",600,2000-10-06,"11YR00000003039P",10003764,"E31238010000030212000000430411715",945060,7232,"Eifelkreis Bitburg-Pr?m",1575.1,945,"723206","Pr?m"
"1086",723206223,54597,"Fleringen",600,2000-10-09,"11YR00000003039P",10003764,"E31238010000030212000000430418902",945060,7232,"Eifelkreis Bitburg-Pr?m",1575.1,945,"723206","Pr?m"
"1087",723206231,54597,"Habscheid",600,1995-02-01,"11YR00000003039P",10003764,"E31238010000030212000000491111480",598440,7232,"Eifelkreis Bitburg-Pr?m",997.4,598,"723206","Pr?m"
"1088",723206231,54597,"Habscheid",600,1995-02-01,"11YR00000003039P",10003764,"E31238010000030212000000491122555",598440,7232,"Eifelkreis Bitburg-Pr?m",997.4,598,"723206","Pr?m"
"1089",723206290,54595,"Orlenbach",500,1998-09-30,"11YR00000003039P",10003764,"E31238010000030212000000558701424",555047,7232,"Eifelkreis Bitburg-Pr?m",1110.094,555,"723206","Pr?m"
"1090",723206288,54597,"Olzheim",600,1998-01-31,"11YR00000003039P",10003764,"E31238010000030212000000560611694",759220,7232,"Eifelkreis Bitburg-Pr?m",1265.36666666667,759,"723206","Pr?m"
"1091",723206288,54597,"Olzheim",600,1998-01-31,"11YR00000003039P",10003764,"E31238010000030212000000560618337",759220,7232,"Eifelkreis Bitburg-Pr?m",1265.36666666667,759,"723206","Pr?m"
"1092",723306232,54597,"Ormont",1000,2000-04-26,"11YR00000003039P",10003764,"E31238010000030212000000629009141",1459740,7233,"Vulkaneifel",1459.74,1460,"723306","Geroldstein"
"1093",723306232,54597,"Ormont",500,1999-06-30,"11YR00000003039P",10003764,"E31238010000030212000000629009142",729871,7233,"Vulkaneifel",1459.742,730,"723306","Geroldstein"
"1094",723306232,54597,"Ormont",300,1991-07-11,"11YR00000003039P",10003764,"E31238010000030212000000630301215",45037,7233,"Vulkaneifel",150.123333333333,45,"723306","Geroldstein"
