"","Gemeindeschlüssel","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"159",733304022,67294,"Gauersheim",3075,2014-01-31,"E3025401WEA000000000HUNGERBERG004",7012210,2280.39349593496,7012
"160",733304062,67294,"Rittersheim",3075,2014-01-31,"E3025401WEA000000000HUNGERBERG005",7012210,2280.39349593496,7012
"161",733304022,67294,"Gauersheim",3075,2013-12-27,"E3025401WEA000000000HUNGERBERG006",7012210,2280.39349593496,7012
"162",733304022,67294,"Gauersheim",3075,2013-12-10,"E3025401WEA000000000HUNGERBERG007",7012210,2280.39349593496,7012
"163",733304022,67294,"Gauersheim",3075,2014-02-13,"E3025401WEA000000000HUNGERBERG008",7012200,2280.39024390244,7012
"164",733304022,67294,"Gauersheim",3075,2013-12-29,"E3025401WEA000000000HUNGERBERG009",7012210,2280.39349593496,7012
"165",733304022,67294,"Gauersheim",3075,2013-12-10,"E3025401WEA000000000HUNGERBERG010",7012210,2280.39349593496,7012
"166",733303001,67308,"Albisheim",3300,2015-11-14,"E3025401WEA000000000HUNGERBERG011",1618172,490.355151515152,1618
"167",733303001,67308,"Albisheim",3075,2013-11-18,"E3025401WEA000000000HUNGERBERG012",7012210,2280.39349593496,7012
"168",733303001,67308,"Albisheim (Pfrimm)",3075,2013-12-03,"E3025401WEA000000000HUNGERBERG013",7012210,2280.39349593496,7012
"169",733511023,66851,"Linden",2400,2013-12-09,"E3025401WEA000000000LINDEN8288102",6020064,2508.36,6020
"170",733511023,66851,"Linden",2400,2013-12-18,"E3025401WEA000000000LINDEN8288201",6020058,2508.3575,6020
"171",733303012,67308,"Bubenheim",2530,2014-07-23,"E3025401WEA00000000BUBENHEIM00009",6461709,2554.03517786561,6462
"172",733303012,67308,"Bubenheim",2530,2014-07-23,"E3025401WEA00000000BUBENHEIM00011",6461700,2554.03162055336,6462
"173",733207029,67271,"Kindenheim",3050,2014-07-28,"E3025401WEA00000000KINDENHEIM0001",6509209,2134.1668852459,6509
"174",733207029,67271,"Kindenheim",3050,2014-09-12,"E3025401WEA00000000KINDENHEIM0002",6509202,2134.16459016393,6509
"175",733608087,67753,"Rothselberg",3050,2014-12-15,"E3025401WEA000000GALGENBERT010001",6586588,2159.53704918033,6587
"176",733608087,67753,"Rothselberg",3050,2014-12-23,"E3025401WEA000000GALGENBERT010002",6586588,2159.53704918033,6587
"177",733608087,67753,"Rothselberg",3050,2014-12-30,"E3025401WEA000000GALGENBERT010003",6586590,2159.53770491803,6587
"178",733608105,67752,"Wolfstein",3050,2015-02-24,"E3025401WEA000000GALGENBERT010004",5621204,1843.01770491803,5621
"179",733608105,67752,"Wolfstein",3050,2015-06-25,"E3025401WEA000000GALGENBERT010005",3542052,1161.32852459016,3542
"180",733608105,67752,"Wolfstein",3050,2015-05-21,"E3025401WEA000000GALGENBERT010006",4005985,1313.43770491803,4006
"181",733608105,67752,"Wolfstein",3050,2015-07-28,"E3025401WEA000000GALGENBERT010007",3170389,1039.47180327869,3170
"182",733608105,67752,"Wolfstein",3050,2015-08-04,"E3025401WEA000000GALGENBERT010008",3098828,1016.00918032787,3099
"183",733707061,76877,"Offenbach",2530,2014-09-03,"E3025401WEA000000UWOFFENBACH37501",6043246,2388.6347826087,6043
"184",733707061,76877,"Offenbach",2530,2014-08-19,"E3025401WEA000000UWOFFENBACH37502",6043244,2388.63399209486,6043
"185",733707061,76877,"Offenbach",2530,2014-09-03,"E3025401WEA000000UWOFFENBACH37503",6043242.5,2388.63339920949,6043
"186",733707061,76877,"Offenbach",2530,2014-09-02,"E3025401WEA000000UWOFFENBACH37504",6043244,2388.63399209486,6043
"187",733707061,76877,"Offenbach",2530,2014-08-14,"E3025401WEA000000UWOFFENBACH37505",6043244,2388.63399209486,6043
"188",733707061,76877,"Offenbach",2530,2014-08-27,"E3025401WEA000000UWOFFENBACH37506",6043244.5,2388.63418972332,6043
"189",733302038,67304,"Kerzenheim",3075,2015-06-12,"E3025401WEA0004100033530000013176",3702895,1204.19349593496,3703
"190",733302038,67304,"Kerzenheim",3075,2015-06-17,"E3025401WEA0004100033530000013177",3649258,1186.75056910569,3649
"191",733302038,67304,"Kerzenheim",3300,2015-09-02,"E3025401WEA0004100033550000013217",3119831,945.403333333333,3120
"192",733302038,67304,"Kerzenheim",3300,2015-09-09,"E3025401WEA0004100033550000013218",2390040,724.254545454545,2390
"193",733609102,66914,"Waldmohr",2780,2015-09-17,"E3025401WEA0004100033620000013424",1594700,573.63309352518,1595
"194",733609102,66914,"Waldmohr",2780,2015-09-15,"E3025401WEA0004100033620000013425",1631014,586.695683453237,1631
"195",733303012,67308,"Bubenheim",2780,2015-12-19,"E3025401WEA0004100033660000013421",79,0.0284172661870504,0
