"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh"
"139",733307053,67822,"Oberhausen",3075,2014-04-02,"11YR00000001555H",10002992,"E3025401WEA0000000000OBERHAUSEN01",6245691
"140",733307053,67822,"Oberhausen",3075,2014-04-11,"11YR00000001555H",10002992,"E3025401WEA0000000000OBERHAUSEN02",6245686
"141",733304010,67295,"Bolanden",3075,2013-12-27,"11YR00000001555H",10002992,"E3025401WEA000000000HUNGERBERG001",6542120
"142",733304022,67294,"Gauersheim",3075,2014-01-31,"11YR00000001555H",10002992,"E3025401WEA000000000HUNGERBERG004",6533594
"143",733304062,67294,"Rittersheim",3075,2014-01-31,"11YR00000001555H",10002992,"E3025401WEA000000000HUNGERBERG005",6533594
"144",733304022,67294,"Gauersheim",3075,2013-12-27,"11YR00000001555H",10002992,"E3025401WEA000000000HUNGERBERG006",6542120
"145",733304022,67294,"Gauersheim",3075,2013-12-10,"11YR00000001555H",10002992,"E3025401WEA000000000HUNGERBERG007",6542120
"146",733304022,67294,"Gauersheim",3075,2014-02-13,"11YR00000001555H",10002992,"E3025401WEA000000000HUNGERBERG008",6542109
"147",733304022,67294,"Gauersheim",3075,2013-12-29,"11YR00000001555H",10002992,"E3025401WEA000000000HUNGERBERG009",6542119
"148",733304022,67294,"Gauersheim",3075,2013-12-10,"11YR00000001555H",10002992,"E3025401WEA000000000HUNGERBERG010",6542120
"149",733303001,67308,"Albisheim",3300,2015-11-14,"",10002992,"E3025401WEA000000000HUNGERBERG011",7631998
"150",733303001,67308,"Albisheim",3075,2013-11-18,"11YR00000001555H",10002992,"E3025401WEA000000000HUNGERBERG012",6542120
"151",733303001,67308,"Albisheim (Pfrimm)",3075,2013-12-03,"11YR00000001555H",10002992,"E3025401WEA000000000HUNGERBERG013",6542120
"152",733511023,66851,"Linden",2400,2013-12-09,"11YR00000001555H",10002992,"E3025401WEA000000000LINDEN8288102",5889459
"153",733511023,66851,"Linden",2400,2013-12-18,"11YR00000001555H",10002992,"E3025401WEA000000000LINDEN8288201",5889454
"154",733303012,67308,"Bubenheim",2530,2014-07-23,"11YR00000001555H",10002992,"E3025401WEA00000000BUBENHEIM00009",6367134
"155",733303012,67308,"Bubenheim",2530,2014-07-23,"11YR00000001555H",10002992,"E3025401WEA00000000BUBENHEIM00011",6367130
"156",733207029,67271,"Kindenheim",3050,2014-07-28,"11YR00000001555H",10002992,"E3025401WEA00000000KINDENHEIM0001",6524247
"157",733207029,67271,"Kindenheim",3050,2014-09-12,"11YR00000001555H",10002992,"E3025401WEA00000000KINDENHEIM0002",6524243
"158",733608087,67753,"Rothselberg",3050,2014-12-15,"11YR00000001555H",10002992,"E3025401WEA000000GALGENBERT010001",7493167
"159",733608087,67753,"Rothselberg",3050,2014-12-23,"11YR00000001555H",10002992,"E3025401WEA000000GALGENBERT010002",7493167
"160",733608087,67753,"Rothselberg",3050,2014-12-30,"11YR00000001555H",10002992,"E3025401WEA000000GALGENBERT010003",7493167
"161",733608105,67752,"Wolfstein",3050,2015-02-24,"",10002992,"E3025401WEA000000GALGENBERT010004",7493167
"162",733608105,67752,"Wolfstein",3050,2015-06-25,"",10002992,"E3025401WEA000000GALGENBERT010005",7493167
"163",733608105,67752,"Wolfstein",3050,2015-05-21,"",10002992,"E3025401WEA000000GALGENBERT010006",7493167
"164",733608105,67752,"Wolfstein",3050,2015-07-28,"",10002992,"E3025401WEA000000GALGENBERT010007",7493167
"165",733608105,67752,"Wolfstein",3050,2015-08-04,"",10002992,"E3025401WEA000000GALGENBERT010008",7493168
"166",733707061,76877,"Offenbach",2530,2014-09-03,"11YR00000001555H",10002992,"E3025401WEA000000UWOFFENBACH37501",6057058
"167",733707061,76877,"Offenbach",2530,2014-08-19,"11YR00000001555H",10002992,"E3025401WEA000000UWOFFENBACH37502",6057058
"168",733707061,76877,"Offenbach",2530,2014-09-03,"11YR00000001555H",10002992,"E3025401WEA000000UWOFFENBACH37503",6057058
"169",733707061,76877,"Offenbach",2530,2014-09-02,"11YR00000001555H",10002992,"E3025401WEA000000UWOFFENBACH37504",6057058
"170",733707061,76877,"Offenbach",2530,2014-08-14,"11YR00000001555H",10002992,"E3025401WEA000000UWOFFENBACH37505",6057058
"171",733707061,76877,"Offenbach",2530,2014-08-27,"11YR00000001555H",10002992,"E3025401WEA000000UWOFFENBACH37506",6057057
"172",733302038,67304,"Kerzenheim",3075,2015-06-12,"",10002992,"E3025401WEA0004100033530000013176",6204808
"173",733302038,67304,"Kerzenheim",3075,2015-06-17,"",10002992,"E3025401WEA0004100033530000013177",6204808
"174",733302038,67304,"Kerzenheim",3300,2015-09-02,"",10002992,"E3025401WEA0004100033550000013217",8315479
"175",733302038,67304,"Kerzenheim",3300,2015-09-09,"",10002992,"E3025401WEA0004100033550000013218",8315473
"176",733609102,66914,"Waldmohr",2780,2015-09-17,"",10002992,"E3025401WEA0004100033620000013424",6365542
"177",733609102,66914,"Waldmohr",2780,2015-09-15,"",10002992,"E3025401WEA0004100033620000013425",6365544
"178",733303012,67308,"Bubenheim",2780,2015-12-19,"",10002992,"E3025401WEA0004100033660000013421",6482586
"179",733303012,67308,"Bubenheim",2780,2015-12-22,"",10002992,"E3025401WEA0004100033660000013422",6482583
"180",733304076,67294,"Stetten",3075,2015-11-25,"",10002992,"E3025401WEA0004100033710000013499",6715217
"181",733610055,66869,"Kusel",2000,2015-12-25,"",10002992,"E3025401WEA0004100033770000013556",3992794
"182",733509019,66879,"Kollweiler",3050,2014-07-24,"11YR00000001555H",10002992,"E3025401WEA0005000000KOLLWEILER01",6140584
"183",733509019,66879,"Kollweiler",3050,2014-07-24,"11YR00000001555H",10002992,"E3025401WEA0005000000KOLLWEILER02",6140576
"184",733608069,67759,"Nußbach",3050,2012-05-15,"11YR00000001555H",10002992,"E3025401WEA0005000060110000004636",6399272
"185",733608069,67759,"Nußbach",3050,2012-04-24,"11YR00000001555H",10002992,"E3025401WEA0005000060110000004637",6399268
"186",733307079,67822,"Waldgrehweiler",3370,2012-03-22,"11YR00000001555H",10002992,"E3025401WEA0005000060630000004685",7362753
"187",733307079,67822,"Waldgrehweiler",3370,2012-03-22,"11YR00000001555H",10002992,"E3025401WEA0005000060630000004686",7362753
"188",713301045,55585,"Hochstätten",2000,2012-01-12,"11YR00000001555H",10002992,"E3025401WEA0005000068450000005343",3135739
"189",713301045,55585,"Hochstätten",2000,2011-12-29,"11YR00000001555H",10002992,"E3025401WEA0005000068450000005344",3135739
"190",713301045,55585,"Hochstätten",2000,2012-01-18,"11YR00000001555H",10002992,"E3025401WEA0005000068450000005345",3118619
"191",733304076,67294,"Stetten",3170,2013-02-14,"11YR00000001555H",10002992,"E3025401WEA0005000077080000006148",7477337
"192",733304076,67294,"Stetten",3170,2013-02-07,"11YR00000001555H",10002992,"E3025401WEA0005000077080000006149",7477337
"193",733304076,67294,"Stetten",3170,2012-12-29,"11YR00000001555H",10002992,"E3025401WEA0005000077080000006150",7477337
"194",733101024,55234,"Flomborn",3075,2012-12-21,"11YR00000001555H",10002992,"E3025401WEA0005000085560000006845",6484622
"195",733101024,55234,"Flomborn",3075,2012-12-28,"11YR00000001555H",10002992,"E3025401WEA0005000085570000006846",6484622
"196",733101024,55234,"Flomborn",3075,2013-01-25,"11YR00000001555H",10002992,"E3025401WEA0005000085580000006847",6484622
"197",733101024,55234,"Flomborn",3075,2013-02-07,"11YR00000001555H",10002992,"E3025401WEA0005000085590000006848",6484622
"198",733101024,55234,"Flomborn",3075,2013-02-21,"11YR00000001555H",10002992,"E3025401WEA0005000087220000006951",6484628
"199",734008221,66484,"Riedelberg",2300,2013-07-19,"11YR00000001555H",10002992,"E3025401WEA0005000093180000007504",4144935
"200",734008221,66484,"Riedelberg",2300,2013-07-29,"11YR00000001555H",10002992,"E3025401WEA0005000093220000007507",4144935
"201",734008221,66484,"Riedelberg",2300,2013-08-02,"11YR00000001555H",10002992,"E3025401WEA0005000093240000007509",4144935
"202",734008221,66484,"Riedelberg",2300,2013-08-16,"11YR00000001555H",10002992,"E3025401WEA0005000093260000007510",4144927
"203",713301032,55546,"Fürfeld",2300,2013-12-27,"11YR00000001555H",10002992,"E3025401WEA0005000102220000011949",3966213
"204",713301032,55546,"Fürfeld",3050,2013-12-23,"11YR00000001555H",10002992,"E3025401WEA0005000102220000011950",5712691
"205",713301032,55546,"Fürfeld",3050,2013-12-18,"11YR00000001555H",10002992,"E3025401WEA0005000102220000011951",5549703
"206",713301032,55546,"Fürfeld",3050,2014-07-14,"11YR00000001555H",10002992,"E3025401WEA000500010222FUERFELD04",5549703
"207",733307003,67821,"Alsenz",3075,2014-08-01,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000001",6980442
"208",733307003,67821,"Alsenz",3075,2014-07-28,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000002",6980442
"209",733307003,67821,"Alsenz",3075,2014-08-12,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000003",6980442
"210",733307003,67821,"Alsenz",3075,2014-08-19,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000004",6980442
"211",733307003,67821,"Alsenz",3075,2014-08-25,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000005",6980442
"212",733307003,67821,"Alsenz",3075,2014-08-13,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000006",6980442
"213",733307003,67821,"Alsenz",3075,2014-08-22,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000007",6980442
"214",733307003,67821,"Alsenz",3075,2014-08-22,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000008",6980442
"215",733307003,67821,"Alsenz",3075,2014-09-17,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000009",6980442
"216",733307003,67821,"Alsenz",3075,2014-09-04,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000010",6980442
"217",733307003,67821,"Alsenz",3075,2014-09-19,"11YR00000001555H",10002992,"E3025401WEA00UWALSENZ370000000011",6980442
"218",733303026,67307,"Göllheim",3075,2014-07-18,"11YR00000001555H",10002992,"E3025401WEA0ENERGIEPARKGOLLHEIM01",6902789
"219",713301032,55546,"Fürfeld",3050,2014-12-03,"11YR00000001555H",10002992,"E3025401WEA0FUERFELD000WEA0501617",5549703
"220",713301032,55546,"Fürfeld",3050,2014-12-10,"11YR00000001555H",10002992,"E3025401WEA0FUERFELD000WEA0601530",5549703
"221",713301032,55546,"Fürfeld",3050,2014-11-17,"11YR00000001555H",10002992,"E3025401WEA0FUERFELD000WEA0700155",5549709
