"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh"
"171",733707061,76877,"Offenbach",2530,2014-09-03,"E3025401WEA000000UWOFFENBACH37503",5274575
"172",733707061,76877,"Offenbach",2530,2014-09-02,"E3025401WEA000000UWOFFENBACH37504",5274575
"173",733707061,76877,"Offenbach",2530,2014-08-14,"E3025401WEA000000UWOFFENBACH37505",5274575
"174",733707061,76877,"Offenbach",2530,2014-08-27,"E3025401WEA000000UWOFFENBACH37506",5274576
"175",733302038,67304,"Kerzenheim",3075,2015-06-12,"E3025401WEA0004100033530000013176",7490153
"176",733302038,67304,"Kerzenheim",3075,2015-06-17,"E3025401WEA0004100033530000013177",7490153
"177",733302038,67304,"Kerzenheim",3300,2015-09-02,"E3025401WEA0004100033550000013217",8724506
"178",733302038,67304,"Kerzenheim",3300,2015-09-09,"E3025401WEA0004100033550000013218",8724498
"179",733609102,66914,"Waldmohr",2780,2015-09-17,"E3025401WEA0004100033620000013424",5731886
"180",733609102,66914,"Waldmohr",2780,2015-09-15,"E3025401WEA0004100033620000013425",5731895
"181",733303012,67308,"Bubenheim",2780,2015-12-19,"E3025401WEA0004100033660000013421",7475858
"182",733303012,67308,"Bubenheim",2780,2015-12-22,"E3025401WEA0004100033660000013422",7475853
"183",733304076,67294,"Stetten",3075,2015-11-25,"E3025401WEA0004100033710000013499",6911745
"184",733610055,66869,"Kusel",2000,2015-12-25,"E3025401WEA0004100033770000013556",3615836
"185",733509019,66879,"Kollweiler",3050,2014-07-24,"E3025401WEA0005000000KOLLWEILER01",5764439
"186",733509019,66879,"Kollweiler",3050,2014-07-24,"E3025401WEA0005000000KOLLWEILER02",5764433
"187",733608069,67759,"Nußbach",3050,2012-05-15,"E3025401WEA0005000060110000004636",6913670
"188",733608069,67759,"Nußbach",3050,2012-04-24,"E3025401WEA0005000060110000004637",6913671
"189",733307079,67822,"Waldgrehweiler",3400,2012-03-22,"E3025401WEA0005000060630000004685",6960343
"190",733307079,67822,"Waldgrehweiler",3400,2012-03-22,"E3025401WEA0005000060630000004686",6960344
"191",713301045,55585,"Hochstätten",2000,2012-01-12,"E3025401WEA0005000068450000005343",3449077
"192",713301045,55585,"Hochstätten",2000,2011-12-29,"E3025401WEA0005000068450000005344",3449077
"193",713301045,55585,"Hochstätten",2000,2012-01-18,"E3025401WEA0005000068450000005345",3449076
"194",733304076,67294,"Stetten",3170,2013-02-14,"E3025401WEA0005000077080000006148",7622384
"195",733304076,67294,"Stetten",3170,2013-02-07,"E3025401WEA0005000077080000006149",7622384
"196",733304076,67294,"Stetten",3170,2012-12-29,"E3025401WEA0005000077080000006150",7622384
"197",733101024,55234,"Flomborn",3075,2012-12-21,"E3025401WEA0005000085560000006845",6635451
"198",733101024,55234,"Flomborn",3075,2012-12-28,"E3025401WEA0005000085570000006846",6635451
"199",733101024,55234,"Flomborn",3075,2013-01-25,"E3025401WEA0005000085580000006847",6635451
"200",733101024,55234,"Flomborn",3075,2013-02-07,"E3025401WEA0005000085590000006848",6635451
"201",733101024,55234,"Flomborn",3075,2013-02-21,"E3025401WEA0005000087220000006951",6635448
"202",734008221,66484,"Riedelberg",2300,2013-07-19,"E3025401WEA0005000093180000007504",4033256
"203",734008221,66484,"Riedelberg",2300,2013-07-29,"E3025401WEA0005000093220000007507",4033256
"204",734008221,66484,"Riedelberg",2300,2013-08-02,"E3025401WEA0005000093240000007509",4033256
"205",734008221,66484,"Riedelberg",2300,2013-08-16,"E3025401WEA0005000093260000007510",4033247
"206",713301032,55546,"Fürfeld",2300,2013-12-27,"E3025401WEA0005000102220000011949",4237033
"207",713301032,55546,"Fürfeld",3050,2013-12-23,"E3025401WEA0005000102220000011950",6102764
"208",713301032,55546,"Fürfeld",3050,2013-12-18,"E3025401WEA0005000102220000011951",5928646
"209",713301032,55546,"Fürfeld",3050,2014-07-14,"E3025401WEA000500010222FUERFELD04",5928646
"210",733307003,67821,"Alsenz",3075,2014-08-01,"E3025401WEA00UWALSENZ370000000001",7129870
"211",733307003,67821,"Alsenz",3075,2014-07-28,"E3025401WEA00UWALSENZ370000000002",7129870
"212",733307003,67821,"Alsenz",3075,2014-08-12,"E3025401WEA00UWALSENZ370000000003",7129870
"213",733307003,67821,"Alsenz",3075,2014-08-19,"E3025401WEA00UWALSENZ370000000004",7129870
"214",733307003,67821,"Alsenz",3075,2014-08-25,"E3025401WEA00UWALSENZ370000000005",7129870
"215",733307003,67821,"Alsenz",3075,2014-08-13,"E3025401WEA00UWALSENZ370000000006",7129870
"216",733307003,67821,"Alsenz",3075,2014-08-22,"E3025401WEA00UWALSENZ370000000007",7129870
"217",733307003,67821,"Alsenz",3075,2014-08-22,"E3025401WEA00UWALSENZ370000000008",7129870
"218",733307003,67821,"Alsenz",3075,2014-09-17,"E3025401WEA00UWALSENZ370000000009",7129870
"219",733307003,67821,"Alsenz",3075,2014-09-04,"E3025401WEA00UWALSENZ370000000010",7129870
"220",733307003,67821,"Alsenz",3075,2014-09-19,"E3025401WEA00UWALSENZ370000000011",7129868
"221",733303026,67307,"Göllheim",3075,2014-07-18,"E3025401WEA0ENERGIEPARKGOLLHEIM01",7169150
"222",713301032,55546,"Fürfeld",3050,2014-12-03,"E3025401WEA0FUERFELD000WEA0501617",5928646
"223",713301032,55546,"Fürfeld",3050,2014-12-10,"E3025401WEA0FUERFELD000WEA0601530",5928646
"224",713301032,55546,"Fürfeld",3050,2014-11-17,"E3025401WEA0FUERFELD000WEA0700155",5928640
"225",734009219,66919,"Obernheim-Kirchenarnbach",3300,2014-11-07,"E3025401WEA0UWLINDENWEA1003501534",8126508
"226",734009219,66919,"Obernheim-Kirchenarnbach",3300,2014-11-07,"E3025401WEA0UWLINDENWEA2003501550",8126503
"227",733303006,67308,"Biedesheim",2530,2015-02-06,"E3025401WEA100BUBENHEIM0003530582",7470742
"228",733306009,67725,"Börrstadt",3050,2014-12-30,"E3025401WEA1SIPPERSFELD0337001329",6703427
"229",733306071,67729,"Sippersfeld",3050,2014-12-17,"E3025401WEA2SIPPERSFELD0337001494",6703427
"230",733303006,67308,"Biedesheim",2530,2015-02-20,"E3025401WEA300BUBENHEIM0003530502",7470736
"231",733306071,67729,"Sippersfeld",3050,2014-12-23,"E3025401WEA3SIPPERSFELD0337001495",6703427
"232",731200000,67657,"Kaiserslautern",3075,2014-11-05,"E30613019020000000000000589300001",6659280
