"","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh"
"102","E30254010000000000005232263805060","2000","17.3.2008",7337061,"49,167192","8,2064",105,90,733707061,76877,"Offenbach",2000,"2008-03-17",3564919
"103","E30254010000000000005232263805061","2000","8.3.2008",7337061,"49,169503","8,205116",105,90,733707061,76877,"Offenbach",2000,"2008-03-08",3564912
"104","E30254010000000000005232790909814","2000","7.10.2008",7338023,"49,297747","8,377295",105,90,733807023,67354,"Römerberg",2000,"2008-10-07",3052724
"105","E30254010000000000005232855709017","2300","27.2.2009",7340221,"49,172108","7,466173",98,71,734008221,66484,"Riedelberg",2300,"2009-02-27",3114291
"106","E30254010000000000005232855709018","2300","4.3.2009",7340221,"49,170805","7,469643",98,71,734008221,66484,"Riedelberg",2300,"2009-03-04",3114293
"107","E30254010000000000005232855709019","2000","3.3.2009",7340221,"49,170418","7,473716",98,82,734008221,66484,"Riedelberg",2000,"2009-03-03",3705969
"108","E30254010000000000005232855709020","2000","27.2.2009",7340221,"49,169497","7,477531",98,82,734008221,66484,"Riedelberg",2000,"2009-02-27",3705969
"109","E30254010000000000005233312514223","2000","26.10.2009",7336003,"49,560905","7,427893",108,82,733610003,66885,"Erdesbach-Patersbach",2000,"2009-10-26",2812792
"110","E30254010000000000005233312514224","2000","3.11.2009",7336003,"49,563606","7,422525",108,82,733610022,66887,"Erdesbach-Patersbach",2000,"2009-11-03",2812792
"111","E30254010000000000005233312514225","2000","3.11.2009",7336003,"49,560124","7,422714",108,82,733610022,66887,"Erdesbach-Patersbach",2000,"2009-11-03",2812791
"112","E30254010000000000005233312514226","2000","12.10.2009",7336003,"49,557391","7,421888",108,82,733610003,66885,"Erdesbach-Patersbach",2000,"2009-10-12",2812792
"113","E30254010000000000005233432816109","2000","28.11.2009",7340226,"49,21603","7,49013",105,90,734008226,66484,"Walshausen",2000,"2009-11-28",3690572
"114","E30254010000000000005233432816110","2000","1.12.2009",7340226,"49,21436","7,49281",105,90,734008226,66484,"Walshausen",2000,"2009-12-01",3690567
"115","E30254010000000000005234010625532","7580","24.11.2010",7333025,"49,678627","7,896039",135,126,NA,NA,NA,NA,NA,NA
"116","E30254010000000000005234010639491","3050","28.10.2011",7333025,"49,67732","7,90634",135,101,733307025,67813,"Gerbach",3050,"2011-10-28",8012878
"117","E30254010000000000005234201028183","2500","4.2.2011",7338006,"49,400356","8,324114",135,100,733801006,67125,"Dannstadt-Schauernheim",2500,"2011-02-04",3663506
"118","E30254010000000000005234201028184","2500","2.2.2011",7338005,"49,399298","8,318452",135,100,733800005,67459,"Böhl-Iggelheim",2500,"2011-02-02",3663507
"119","E30254010000000000005234239828155","2000","30.12.2010",7332010,"49,586289","8,272211",108,82,733207010,67246,"Dirmstein",2000,"2010-12-30",3285475
"120","E30254010000000000005234239828156","2000","29.12.2010",7332010,"49,586054","8,278192",108,82,733207010,67246,"Dirmstein",2000,"2010-12-30",3284043
"121","E30254010000000000005234430229628","2000","31.3.2011",7336055,"49,493047","7,357079",105,90,733609041,66909,"Herschweiler-Pettersheim",2000,"2011-03-31",3412674
"122","E30254010000000000005234430229629","2000","10.3.2011",7336006,"49,493163","7,36553",105,90,733609101,66909,"Wahnwegen",2000,"2011-03-10",3412676
"123","E30254010000000000005234767337518","800","13.7.2007",7336021,"49,570928","7,491431",758,48,733610103,66887,"Welchweiler",800,"2007-07-13",782829
"124","E30254010WEA1OBERNDORF0FLUR322006","2750","5.9.2014",7333055,"49,703675","7,824258",139,120,733307055,67821,"Oberndorf",2530,"2014-09-05",5483956
"125","E30254010WEA2GOLLWALD00FLUR474306","2750","23.9.2014",7333026,"49,571669","7,988501",139,120,733303026,67307,"Göllheim",2530,"2014-09-23",5468956
"126","E30254010WEA2GOLLWALD00FLUR475902","2750","4.9.2014",7333026,"49,571299","7,982149",139,120,733303026,67307,"Göllheim",2530,"2014-09-04",5468956
"127","E30254010WEA2GOLLWALD00FLUR475903","2750","11.9.2014",7333026,"49,573993","7,97977",139,120,733303026,67307,"Göllheim",2530,"2014-09-11",5468956
"128","E30254010WEA2GOLLWALD00FLUR476304","2750","13.9.2014",7333026,"49,576934","7,976805",139,120,733303026,67307,"Göllheim",2530,"2014-09-13",5468956
"129","E30254010WEA2GOLLWALD00FLUR476305","2750","23.9.2014",7333026,"49,578424","7,972446",139,120,733303026,67307,"Göllheim",2530,"2014-09-23",5468952
"130","E30254010WEA2OBERNDORF0FLUR306006","2750","1.9.2014",7333055,"49,704111","7,830056",139,120,733307055,67821,"Oberndorf",2530,"2014-09-01",5483960
"131","E30254011000000000005231616306700","2000","30.12.2004",7338013,"49,586441","8,284324",98,70,733806013,67259,"Heuchelheim",2000,"2004-12-30",2255677
"132","E30254012000000000005231616306700","2000","13.5.2005",7338009,"49,584225","8,290069",113,70,733806013,67259,"Heuchelheim",2000,"2005-05-13",2355899
"133","E30254013000000000005231616306700","2000","21.4.2005",7338013,"49,586063","8,28925",98,70,733806013,67259,"Heuchelheim",2000,"2005-05-03",2255677
"134","E30254014000000000005231616306700","2000","15.4.2005",7338013,"49,58453","8,284287",98,70,733806013,67259,"Heuchelheim",2000,"2005-04-15",2255674
"135","E30254015000000000005231616306700","800","3.2.2005",7338013,"49,583","8,29124",76,48,733806013,67259,"Heuchelheim",800,"2005-02-03",903367
"136","E3025401PVA0000000000009000011337","3000","31.5.2013",7335205,"49,511284","7,88393",135,101,733502004,67677,"Enkenbach-Alsenborn",3000,"2013-05-31",5211716
"137","E3025401WEA0000000000ESSELBORN001","3075","16.10.2013",7331022,"49,702394","8,115272",140,112,733101022,55234,"Esselborn",3075,"2013-10-16",7476259
"138","E3025401WEA0000000000ESSELBORN002","3075","17.10.2013",7331022,"49,699907","8,108869",140,112,733101022,55234,"Esselborn",3075,"2013-10-17",7476254
"139","E3025401WEA0000000000OBERHAUSEN01","3075","2.4.2014",7333053,"49,723831","7,852142",140,112,733307053,67822,"Oberhausen",3075,"2014-04-02",6245691
"140","E3025401WEA0000000000OBERHAUSEN02","3075","11.4.2014",7333053,"49,715885","7,848181",140,112,733307053,67822,"Oberhausen",3075,"2014-04-11",6245686
"141","E3025401WEA000000000HUNGERBERG001","3075","27.12.2013",7333010,"49,647127","8,041429",140,112,733304010,67295,"Bolanden",3075,"2013-12-27",6542120
"142","E3025401WEA000000000HUNGERBERG004","3075","31.1.2014",7333022,"49,654588","8,045203",140,112,733304022,67294,"Gauersheim",3075,"2014-01-31",6533594
"143","E3025401WEA000000000HUNGERBERG005","3075","31.1.2014",7333062,"49,658403","8,048717",140,112,733304062,67294,"Rittersheim",3075,"2014-01-31",6533594
"144","E3025401WEA000000000HUNGERBERG006","3075","27.12.2013",7333022,"49,65165","8,04569",140,112,733304022,67294,"Gauersheim",3075,"2013-12-27",6542120
"145","E3025401WEA000000000HUNGERBERG007","3075","10.12.2013",7333022,"49,648654","8,048865",140,112,733304022,67294,"Gauersheim",3075,"2013-12-10",6542120
"146","E3025401WEA000000000HUNGERBERG008","3075","13.2.2014",7333022,"49,656694","8,053087",140,112,733304022,67294,"Gauersheim",3075,"2014-02-13",6542109
"147","E3025401WEA000000000HUNGERBERG009","3075","29.12.2013",7333022,"49,652515","8,053542",140,112,733304022,67294,"Gauersheim",3075,"2013-12-29",6542119
"148","E3025401WEA000000000HUNGERBERG010","3075","10.12.2013",7333022,"49,650669","8,057692",140,112,733304022,67294,"Gauersheim",3075,"2013-12-10",6542120
"149","E3025401WEA000000000HUNGERBERG011","3300","28.11.2015",7333001,"49,646794","8,053501",137,126,733303001,67308,"Albisheim",3300,"2015-11-14",7631998
"150","E3025401WEA000000000HUNGERBERG012","3075","18.11.2013",7333001,"49,648599","8,061971",140,112,733303001,67308,"Albisheim",3075,"2013-11-18",6542120
"151","E3025401WEA000000000HUNGERBERG013","3075","3.12.2013",7333001,"49,647921","8,068149",140,112,733303001,67308,"Albisheim (Pfrimm)",3075,"2013-12-03",6542120
"152","E3025401WEA000000000LINDEN8288102","2400","9.12.2013",7335023,"49,343409","7,630362",91,117,733511023,66851,"Linden",2400,"2013-12-09",5889459
"153","E3025401WEA000000000LINDEN8288201","2400","18.12.2013",7335023,"49,345461","7,626117",91,117,733511023,66851,"Linden",2400,"2013-12-18",5889454
"154","E3025401WEA00000000BUBENHEIM00009","2530","23.7.2014",7333012,"49,625068","8,141915",139,120,733303012,67308,"Bubenheim",2530,"2014-07-23",6367134
"155","E3025401WEA00000000BUBENHEIM00011","2530","23.7.2014",7333012,"49,619405","8,136297",139,120,733303012,67308,"Bubenheim",2530,"2014-07-23",6367130
"156","E3025401WEA00000000KINDENHEIM0001","3050","28.7.2014",7332029,"49,618512","8,142888",1354,101,733207029,67271,"Kindenheim",3050,"2014-07-28",6524247
"157","E3025401WEA00000000KINDENHEIM0002","3050","12.9.2014",7332029,"49,609493","8,134835",1354,101,733207029,67271,"Kindenheim",3050,"2014-09-12",6524243
