gemeinde,vg,kreis,datum,nennleist,nabenhoehe,rotor,gesamthoeh,bemerkung,planstd,gem_neu,xcoord,ycoord
Fleringen,Prüm,Eifelkreis Bitburg-Prüm,2000/09/22,"600",65.00,44.00,87.00,,am Netz,"723206223",322449.59962871,5565653.59067816
Fleringen,Prüm,Eifelkreis Bitburg-Prüm,2000/09/22,"600",65.00,44.00,87.00,,am Netz,"723206223",322635.236784608,5565616.0912318
Fleringen,Prüm,Eifelkreis Bitburg-Prüm,2003/01/01,"1500",65.00,44.00,87.00,,am Netz,"723206223",322690.89445868,5565407.68765839
Fleringen,Prüm,Eifelkreis Bitburg-Prüm,2003/01/01,"1800",86.02,70.00,121.02,,am Netz,"723206223",322813.672569601,5565847.09268127
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,1995/03/22,"600",50.00,42.00,71.00,,am Netz,"723206231",303697.391081285,5560294.33928977
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,1998/05/16,"500",65.00,40.00,85.00,,am Netz,"723206231",302967.038884281,5560948.28338983
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,1998/12/13,"600",65.00,33.00,81.50,,am Netz,"723206231",303281.845553584,5561085.74779205
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,2002/08/13,"600",65.00,44.00,87.00,,am Netz,"723206231",303317.653741832,5560408.70765609
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,2005/07/11,"2300",103.00,93.00,149.50,,am Netz,"723206231",303420.19411298,5563180.04170203
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,2006/01/04,"2300",103.00,93.00,149.50,,am Netz,"723206231",303412.518693423,5562865.0710945
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,2006/01/04,"2300",103.00,93.00,149.50,,am Netz,"723206231",303646.334348989,5563427.16542737
Habscheid,Prüm,Eifelkreis Bitburg-Prüm,2006/11/08,"2300",103.00,93.00,149.50,,am Netz,"723206231",303284.016038024,5562225.49708231
