"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2"
"52",52,"E30254010000000000005230790606676","2300","24.1.2006",7340022,49.302891,7.609465,114,70,734006022,66989,"Höheinöd",2300,"2006-01-24",2968590,611,2969,373321,0.373321,7.95184305195797
"53",53,"E30254010000000000005230791001762","1500","22.9.2004",7334020,49.081286,8.155437,100,77,733404020,76872,"Minfeld",1500,"2004-09-22",2504323,304,2504,92416,0.092416,27.0983704120499
"54",54,"E30254010000000000005230791001763","1500","14.9.2004",7334020,49.081483,8.152292,100,77,733404020,76872,"Minfeld",1500,"2004-09-14",2504323,304,2504,92416,0.092416,27.0983704120499
"55",55,"E30254010000000000005230791001764","1500","15.9.2004",7334020,49.079857,8.158007,100,77,733404020,76872,"Minfeld",1500,"2004-09-15",2504323,324,2504,104976,0.104976,23.8561480719403
"56",56,"E30254010000000000005230791006703","1500","22.9.2004",7334020,49.082963,8.147428,100,77,733404020,76872,"Minfeld",1500,"2004-09-22",2504323,375,2504,140625,0.140625,17.8085191111111
"57",57,"E30254010000000000005230791008781","2000","12.2.2009",7334020,49.085519,8.147192,105,90,733404020,76872,"Minfeld",2000,"2009-02-12",3610916,375,3611,140625,0.140625,25.6776248888889
"58",58,"E30254010000000000005230797401809","1250","28.3.2003",7335003,49.333007,7.492786,68,64,734009216,66894,"Krähenberg",1250,"2003-03-28",1252114,339,1252,114921,0.114921,10.89543251451
"59",59,"E30254010000000000005230797401810","1250","25.3.2003",7335003,49.335168,7.490376,68,64,734009216,66894,"Krähenberg",1250,"2003-03-25",1252114,325,1252,105625,0.105625,11.8543337278107
"60",60,"E30254010000000000005230797401811","1250","19.3.2003",7335003,49.336903,7.48825,915,64,734009216,66894,"Krähenberg",1250,"2003-03-19",1374979,251,1375,63001,0.063001,21.824717067983
"61",61,"E30254010000000000005230797401812","1250","31.3.2003",7335003,49.337976,7.486198,915,64,734009216,66894,"Krähenberg",1250,"2003-03-31",1374979,251,1375,63001,0.063001,21.824717067983
"62",62,"E30254010000000000005230797405750","1250","31.3.2003",7335003,49.331644,7.4878,915,64,734009216,66894,"Krähenberg",1250,"2003-03-31",1374978,359,1375,128881,0.128881,10.668585749645
"63",63,"E30254010000000000005230797501801","1500","17.1.2006",7334028,49.266912,8.355917,100,77,733405028,67365,"Schwegenheim",1500,"2006-01-17",1833372,713,1833,508369,0.508369,3.60638040478471
"64",64,"E30254010000000000005230797501802","1500","31.1.2006",7334028,49.268489,8.362973,100,77,733405028,67365,"Schwegenheim",1500,"2006-01-31",1833372,669,1833,447561,0.447561,4.09636228357699
"65",65,"E30254010000000000005230797501803","1500","23.12.2005",7334028,49.265038,8.348838,100,77,733405028,67365,"Schwegenheim",1500,"2005-12-23",1833372,730,1833,532900,0.5329,3.44036779883655
"66",66,"E30254010000000000005230797601805","850","29.1.2002",7336052,49.49695,7.345698,74,52,733610052,66871,"Konken",850,"2002-02-01",1134210,288,1134,82944,0.082944,13.6744068287037
"67",67,"E30254010000000000005230797601806","850","29.1.2002",7336052,49.495237,7.344047,74,52,733610052,66871,"Konken",850,"2002-02-01",1134210,295,1134,87025,0.087025,13.0331513932778
"68",68,"E30254010000000000005230797601807","850","29.1.2002",7336052,49.495481,7.347723,74,52,733610052,66871,"Konken",850,"2002-02-01",1134210,288,1134,82944,0.082944,13.6744068287037
"69",69,"E30254010000000000005230797606681","850","29.1.2002",7336052,49.496783,7.351158,74,52,733610052,66871,"Konken",850,"2002-02-01",1134204,377,1134,142129,0.142129,7.98010258286486
"70",70,"E30254010000000000005230822702034","1500","10.4.2000",7333008,49.628597,7.755712,67,66,733307008,67806,"Bisterschied",1500,"2000-04-10",1975377,253,1975,64009,0.064009,30.8609258073083
